CID,CRPName,Party
N00040177,"Lemire, Jeffrey",I
N00040188,"Farrington, Joe",R
N00040242,"Kearney, Howard",L
N00040299,"Billiot, Beryl",I
N00040305,"Lutz, Mary Ann",D
N00040388,"Delaney, Dan",L
N00040395,"Shapiro, Robert",3
N00040426,"Griffith, Bruce",L
N00040451,"Kiani, Kiumars G.",I
N00040529,Rashid Malik,D
N00040559,"Johnson, Dusty",R
N00040597,"Gomez, Jimmy",D
N00040620,"Wu, Brianna",D
N00040633,"Waters, Allen",R
N00040637,"De La Fuente, Ricardo",D
N00040641,"Von Behr, Irina Baroness",R
N00040646,"Quintero, Andre",D
N00040665,"Peacock, Julia",D
N00040666,"Rouda, Harley",D
N00040667,"Levin, Mike",D
N00040675,"Ossoff, Jon",D
N00040678,"Bolena, Donald",R
N00040709,"Lombard, Laura",D
N00040712,"Estes, Ron",R
N00040741,"Delgado, Antonio",D
N00040761,"Sanchez, Jana Lynne",D
N00040772,"Dove, Jeff",R
N00040773,"Porter, Stevan",L
N00040805,"Leitzel, Dustin",D
N00040815,"Rich, Mick",R
N00040829,"Hern, Kevin",R
N00040853,"Harder, Josh",D
N00040858,"Woody, Michael Erin",R
N00040864,"Smith, Aja",R
N00040865,"Porter, Katie",D
N00040871,"Campa-Najjar, Ammar",D
N00040876,"Crow, Jason",D
N00040879,"Clay, Nathan",D
N00040885,"Hepburn, Michael",D
N00040888,"Finkenauer, Abby",D
N00040891,"Newman, Marie",D
N00040907,"Galbraith, Allison",D
N00040915,"Stevens, Haley",D
N00040922,"Ellis, Kathryn",D
N00040926,"Eastman, Kara",D
N00040932,"Sedillo Lopez, Antoinette",D
N00040933,"Haaland, Debra",D
N00040945,"Godfrey, Aaron",D
N00040946,"Hagan, Christina",R
N00040949,"Houlahan, Chrissy",D
N00040969,"Barone, Roger",R
N00040987,"Mann, Christine",D
N00040989,"Allred, Colin",D
N00040998,"Huffstetler, Roger Dean",D
N00041002,"Wexton, Jennifer",D
N00041023,"Blanton, Derrick James",D
N00041027,"Moore, Roy",R
N00041034,"Ayyadurai, Shiva",R
N00041037,"Brakey, Eric",R
N00041045,"Mackler, James",D
N00041063,"Greene, Joan",D
N00041080,"Neguse, Joseph",D
N00041089,"Learned, Andrew",D
N00041098,"Kim, David",D
N00041100,"Ellyson, Daniel",R
N00041104,"Axne, Cindy",D
N00041111,"Clark, Anthony",D
N00041118,"Mackey, Joe",D
N00041134,"Phillips, Dean",D
N00041136,"Todd, Ian",D
N00041145,"McCready, Dan",D
N00041150,"O'Donnell, Justin",L
N00041154,"Sherrill, Mikie",D
N00041160,"Decillis, Mike",D
N00041162,"Ocasio-Cortez, Alexandria",D
N00041188,"Monday, Christopher",I
N00041192,"Burch, Lorie",D
N00041194,"Fletcher, Lizzie",D
N00041196,"Woolum, Al",D
N00041197,"Bell, Adrienne",D
N00041208,"Fisher, Will",D
N00041210,"Sajna, Cyrus",I
N00041210,"Sajna, Cyrus",D
N00041221,"Curtis, John",R
N00041286,"Gibbons, Mike",R
N00041291,"Hernandez, Sema",D
N00041293,"Swearengin, Paula Jean",D
N00041295,"Moore, Barry",R
N00041297,"Neighbors, Rick",D
N00041300,"Mahony, Josh",D
N00041302,"Tipirneni, Hiral",D
N00041307,"Bliatout, Bobby",D
N00041309,"Duenas, Angelica",3
N00041309,"Duenas, Angelica",D
N00041317,"Bush, Diane Mitsch",D
N00041318,"Spaulding, Stephany Rose",D
N00041323,"Ehr, Phil",D
N00041328,"Holden, David",D
N00041331,"Ring, Lisa",D
N00041334,"Greenfield, Theresa",D
N00041335,"Fulcher, Russ",R
N00041338,"Casten, Sean",D
N00041342,"Londrigan, Betsy Dirksen",D
N00041346,"Cameron, Craig",R
N00041357,"Slotkin, Elissa",D
N00041358,"Feehan, Daniel",D
N00041368,"Brown, David Wilson",D
N00041369,"Price, Phillip",D
N00041370,"Kim, Andy",D
N00041375,"Hart, Richard",D
N00041379,"Vilela, Amy",D
N00041382,"Cobb, Tedra",D
N00041385,"Brindisi, Anthony",D
N00041394,"Horn, Kendra",D
N00041400,"Cunningham, Joe",D
N00041406,"Leeder, Jennie Lou",D
N00041407,"Sagan, Greg",D
N00041411,"Hegar, MJ",D
N00041418,"Spanberger, Abigail",D
N00041421,"McLeod-Skinner, Jamie",D
N00041442,"Bohren, Jensen",D
N00041454,"Herrell, Yvette",R
N00041456,"Gershon, Perry",D
N00041464,"Cisneros, Gil",D
N00041465,"Scholten, JD",D
N00041471,"Davis, Paul",D
N00041480,"Nalbandian, Johnny",R
N00041500,"Gaither, Kevin",D
N00041505,"McGrath, Amy",D
N00041511,"Stauber, Pete",R
N00041515,"Brian, Lee",R
N00041542,"Miller, Carol",R
N00041547,"Lee, Eva F",D
N00041550,"James, John",R
N00041561,"Mucarsel-Powell, Debbie",D
N00041569,"Underwood, Lauren A",D
N00041582,"Loor, Steve",R
N00041588,"Rose, Max",D
N00041594,"Burchett, Tim",R
N00041599,"Rose, John",R
N00041601,"Garcia, Enrique",D
N00041602,"Arredondo-Lynch, Alma",R
N00041603,"Jones, Gina Ortiz",D
N00041606,"Schrier, Kim",D
N00041617,"Tutora, Nicholas",R
N00041634,"Cox, Steve",I
N00041645,"Hazel, Shane",L
N00041658,"Braun, Steve",R
N00041664,"Marino, Louis",R
N00041668,"Golden, Jared",D
N00041670,"Wright, Rich",D
N00041676,"Watkins, Richard",D
N00041686,"Sauberman, Joshua",I
N00041688,"Mitrano, Tracy",D
N00041690,"Gonzalez, Anthony",R
N00041699,"Hoyos, Renee",D
N00041702,"Escobar, Veronica",D
N00041704,"Kennedy, Rick",D
N00041716,"Palzewicz, Tom",D
N00041745,"Shedd, Tiffany",R
N00041747,"Malik, Anita",D
N00041750,"Stanton, Greg",D
N00041751,"Menor, Scott",R
N00041787,"Ferrer, Gabe",R
N00041788,"Seidman, Barbara A",D
N00041791,"Bourdeaux, Carolyn",D
N00041794,"Mauro, Eddie J",D
N00041808,"Trahan, Lori",D
N00041814,"Caldwell, Kevin",R
N00041821,"Albro, Catherine",D
N00041830,"Martin, Henry",D
N00041841,"Negron, Steve",R
N00041843,"Malinowski, Tom",D
N00041844,"Washburne, Mark",D
N00041850,"Bunkeddeko, Adem",D
N00041854,"Balter, Dana",D
N00041860,"Friedenberg, Marc",D
N00041870,"Lamb, Conor",D
N00041871,"Reschenthaler, Guy",R
N00041873,"Green, Mark",R
N00041881,"Biggan, John",D
N00041882,"Cloud, Michael",R
N00041886,"Burkett, Mary",R
N00041915,"Adams, Elliott",D
N00041919,"Brittain, Craig",R
N00041947,"Vandermaas, Jim",D
N00041950,"Sangari, Sargis",R
N00041951,"Hackett, Pat",D
N00041954,"Baird, Jim",R
N00041956,"Pence, Greg",R
N00041974,"Williams, Kathleen",D
N00041981,"Lynch, Holly",D
N00041983,"Patel, Suraj",D
N00041997,"Wild, Susan",D
N00042008,"Krantz, Catherine",D
N00042013,"McAdams, Ben",D
N00042040,"Hahn, Pat",R
N00042056,"Lesko, Debbie",R
N00042063,"Denney, Audrey",D
N00042064,"Kishineff, Jason",3
N00042074,"Cortes Barragan, Rodolfo",3
N00042081,"Jacobs, Sara",D
N00042085,"Doane, Raymon",L
N00042087,"Yu, Peter",R
N00042103,"Cooper, Jimmy",3
N00042112,"Swisher, Aaron",D
N00042114,"Garcia, Jesus",D
N00042125,"Hood, Brandon",D
N00042126,"Watkins, Steve",R
N00042142,"Kulkarni, Sri",D
N00042143,"Pretot, Jake",D
N00042145,"Vanhelsing, Danielle",I
N00042149,"Levin, Andy",D
N00042154,"Sherman, Jayesun",R
N00042159,"Manning, Kathy",D
N00042161,"Pappas, Chris",D
N00042164,"Van Drew, Jeff",R
N00042165,"Cunningham, William",D
N00042182,"Sax, Mike",D
N00042192,"Butts, Pamela Pinkney",I
N00042194,"Balderson, Troy",R
N00042201,"Barnett, Charles Rand",D
N00042211,"Browning, Dean",R
N00042222,"Wall, Kathaleen",R
N00042224,"Crenshaw, Dan",R
N00042237,"Gooden, Lance",R
N00042240,"Wright, Ron",R
N00042243,"Ellzey, Jake",R
N00042250,"Siegel, Mike",D
N00042255,"Garcia-Ureste, Alia",R
N00042266,"Krause, Ryan",R
N00042268,"Roy, Chip",R
N00042271,"Garza, Mauro",R
N00042278,"Oliver, Julie",D
N00042282,"Garcia, Sylvia",D
N00042288,"Blanco, Jaimy",R
N00042293,"Luria, Elaine",D
N00042296,"Cline, Ben",R
N00042301,"Long, Carolyn",D
N00042308,"Yang, Andrew",D
N00042341,"Cox, Steven",D
N00042353,"Smith, Tina",D
N00042367,"Freitas, Nick",R
N00042370,"Blankenship, Don",3
N00042372,"Galvin, Alyse",I
N00042378,"Sawdy, Steven",D
N00042386,"Kim, Young",R
N00042392,"Maryott, Brian",R
N00042400,"Sapp, Judson",R
N00042403,"Waltz, Michael",R
N00042405,"Francois, Vennia",R
N00042408,"Toulme, Alix",D
N00042426,"Nelson, Preston",L
N00042432,"Thornton, Dee",D
N00042433,"Christie, Jennifer",D
N00042434,"Ferkinhoff, Tom",L
N00042451,"Carter, Anthony",D
N00042452,"Bizon, Kimberly",D
N00042458,"Guest, Michael",R
N00042462,"Blankenbeker, Lynne",R
N00042464,"Fitzherbert, Brian",R
N00042467,"Small, Xochitl Torres",D
N00042468,"Koble, Clint",D
N00042478,"McMurray, Nate",D
N00042480,"Enoch, Vanessa",D
N00042512,"Mizher, Adrian",I
N00042520,"Hostetler, Robert Steven",D
N00042528,"Williams, Eric",I
N00042529,"Williams, Vangie",D
N00042557,"Cruz, Erin",R
N00042565,"Pettigrew, Aaron",R
N00042571,"Cardenas, Beatrice",R
N00042576,"Buck, George",R
N00042581,"Pressley, Ayanna",D
N00042582,"Huffman, Scott",D
N00042586,"O'Connor, Danny",D
N00042599,"Singh, Hirsh",R
N00042603,"Winfrey, Adia",D
N00042605,"Martin, Brandon",R
N00042609,"Heng, Elizabeth",R
N00042614,"Murphy, Marcus",I
N00042616,"Peters, Brandon",D
N00042619,"San Nicolas, Michael",D
N00042626,"Davids, Sharice",D
N00042628,"Linderman, Hank",D
N00042630,"Craven , Mike",R
N00042632,"Palazzo, Rhonda",R
N00042637,"Serrano, Gerardo",R
N00042638,"Kemph , Daniel",D
N00042639,"Eddy, Chuck",R
N00042640,"Anderson, Robert Jon",D
N00042641,"Lovvorn, Tracy",R
N00042648,"Jones, Brenda",D
N00042649,"Tlaib, Rashida",D
N00042651,"Svenson, Brad",3
N00042652,"Geppert, Katy",D
N00042654,"Holcomb, Benjamin",R
N00042657,"Matemu, Japheth",L
N00042661,"Collias, Gina",D
N00042663,"Woodsmall, Steve",D
N00042683,"Roberts, Shawna",D
N00042691,"Levindofske, McKenzie",I
N00042702,"Mason, Raz",D
N00042706,"Scanlon, Mary Gay",D
N00042715,"Timmons, William",R
N00042718,"Ali, Mark",D
N00042731,"Ayyas, Shadi",D
N00042756,"Taylor, Paul",R
N00042759,"Mason, Mia",D
N00042767,"Farley, Chele",R
N00042778,"Lawton, Robert",I
N00042779,"Buttar, Shahid",D
N00042788,"Briscoe, John",R
N00042792,"Wells, Bill",R
N00042797,"Routledge, Root",D
N00042808,"Steube, Greg",R
N00042810,"Salazar, Maria",R
N00042811,"Shalala, Donna",D
N00042813,"McBath, Lucy",D
N00042816,"Cowen, Martin",L
N00042824,"Daggett, Tony",D
N00042831,"Ziol, Veronikka",D
N00042833,"Lake, Jeannine Lee",D
N00042841,"Eason, Donald",I
N00042850,"Seyfferth, Rob",R
N00042851,"Paul, Utam",D
N00042852,"Hilliard, Jerry",D
N00042853,"Gray, Aida",D
N00042864,"Scott, Jeff",L
N00042868,"Armstrong, Kelly",R
N00042891,"Nations, Joey",R
N00042894,"Dean, Madeleine",D
N00042923,"Leder, Ben",L
N00042926,"Duncan, Chris",L
N00042929,"Kurtz, Phil",L
N00042932,"Cristo, Anthony",L
N00042985,"Macek, Dennis Frank",D
N00043002,"Musselwhite, Bob",D
N00043014,"Cottrell, Dana",D
N00043019,"Thomas, Verone",D
N00043020,"Owens, Hubert",R
N00043022,"Stokes, Charles",D
N00043024,"Cooper, Bridgette",R
N00043036,"Gayot, Lutchi",D
N00043037,"Butler, Jineea",R
N00043052,"Hopkins, Randy",D
N00043072,"Sloan, Mark",R
N00043073,"Bradley, James",R
N00043081,"Livingston, Larry",D
N00043098,"Kalagias, Mike",L
N00043104,"Olsen, Bob",D
N00043111,"Howze, Ted",R
N00043117,"Forbes, Stephen",D
N00043128,"Johnson, Will",I
N00043129,"Rushman, Ed",I
N00043139,"Zorn, Steve",D
N00043147,"Profit, Joe",R
N00043150,"Johnson-Green, Tabitha",D
N00043165,"Anthony, Charles",R
N00043167,"Schwartz, Leonard",L
N00043175,"Gentry, Dillon",R
N00043176,"Archerd, Chuck",R
N00043181,"Bolinger, Larry",R
N00043182,"Kowalski, Arron",R
N00043188,"Manning, Chris",L
N00043189,"Strawder, Robert Van",L
N00043193,"Hurley, Jesse",R
N00043194,"Beck, Joel",R
N00043195,"Luetkehans, Ian",D
N00043204,"Choudhury, Mizanur",D
N00043207,"Morelle, Joseph D",D
N00043208,"Wilt, Robin",D
N00043217,"Britt, Elysabeth",D
N00043218,"Barajas, Ricky",D
N00043224,"Roberts, Mark",R
N00043233,"Torres, David",R
N00043238,"Quick, Laura",D
N00043242,"Joyce, John",R
N00043280,"Bhumitra, Arun",R
N00043298,"Hyde-Smith, Cindy",R
N00043302,"Janicek, Chris",D
N00043319,"Spano, Ross",R
N00043339,"Koonse, Steven",L
N00043340,"Oaks, Richonda",R
N00043356,"Walker, Javahn",D
N00043364,"Keeter, Mark",D
N00043366,"Castaldo, Richie",L
N00043369,"Brannon, Mary",D
N00043376,"Williams, Robert",D
N00043379,"Steil, Bryan",R
N00043414,"Rivera, Natalie Lynn",R
N00043415,"Flanagan, Tricia",R
N00043417,"DePaul, Monica",D
N00043421,"Hayes, Jahana",D
N00043434,"Devine, Bill",D
N00043443,"Bentley, Joyce",R
N00043449,"Cohen, Bob",3
N00043453,"Narang, Sonny",3
N00043458,"Hammond, Larry Guy",L
N00043460,"Hale, Christopher",D
N00043463,"Suprun, Christopher",D
N00043469,"Werner, Cindy",R
N00043480,"Kandies, Peggy",R
N00043488,"Bartee, Tobey",D
N00043495,"Hafner, Carol",D
N00043496,"Nelson, Thomas John",R
N00043502,"Murphy, Lee",R
N00043504,"Cherfilus-Mccormick, Sheila",D
N00043533,"Finley, Chris",D
N00043537,"Awgowhat, Leo",D
N00043538,"Williams, Sam Jr",R
N00043541,"Riggleman, Denver",R
N00043542,"Beeler, Jeffrey",R
N00043566,"Emery, Stephen",D
N00043570,"Hill, Dean",I
N00043581,"Omar, Ilhan",D
N00043595,"Scott, Joshua",R
N00043603,"Harrison, Tom",R
N00043604,"Mair, Robert",I
N00043610,"Hash, Martin",I
N00043613,"Saulibio, Dave",R
N00043614,"Hughes-Hageman, Jack",D
N00043640,"Lyras, Louis G",R
N00043642,"Stanley, Blake",R
N00043647,"Cumings, Christopher",I
N00043649,"Wysocki, Fred",R
N00043655,"Menefee, Jon Mark",R
N00043656,"Aguilera, Justin",R
N00043657,"Fleming, Natalie",I
N00043673,"Amun, Akhenaten",D
N00043674,"Gutierrez, Paul",R
N00043677,"Gonzales, Emanuel",D
N00043682,"Tippens, Michelle",L
N00043687,"Tynio, Anya",R
N00043688,"Rogers, Tim",R
N00043698,"Curtis , Ron",R
N00043712,"Batiste, Belden",I
N00043718,"Young, Cole",D
N00043719,"Rossell, Reid",D
N00043741,"Seymore, Christopher Lovell Sr.",D
N00043748,"Holtz, John",R
N00043750,"Kulikowski, Jaimie",3
N00043755,"Denaro, Jeff",R
N00043767,"Knights, Matthew",D
N00043772,"Reyes, Omar",I
N00043775,"Wilcoxon, D Etta",3
N00043798,"Stone, William",D
N00043811,"Cupps, Seldon Frank",3
N00043819,"Lovato, Destiny",R
N00043820,"Jennings, Tracy",3
N00043821,"Parrott, Neil",R
N00043829,"Elworth, Mark Jr",D
N00043850,"Garcia, Lorena",D
N00043851,"DeJesus, Marckeith",D
N00043852,"Maynard, Andrew J",D
N00043853,"Wilson, Carey L",R
N00043854,"Steele, Michael",3
N00043858,"Frame, Sean",D
N00043859,"Rahn, Matt",R
N00043860,"Olivo, Christine",I
N00043860,"Olivo, Christine",D
N00043861,"Nizahon, Shlomo",R
N00043862,"Quigley, Matt",R
N00043863,"Rafi, Emily",R
N00043864,"Keller, Scott",R
N00043865,"Gray, Bryson",I
N00043866,"Weinstock, Michael",D
N00043867,"Ortiz, Jonathan",D
N00043869,"Huggins, Dewon",R
N00043870,"Spawn, Ellee",D
N00043871,"DeVor, Thomas",R
N00043872,"Sandles, Christopher",D
N00043873,"Patel, Bimal",D
N00043874,"Kuzmich, Stephen",I
N00043881,"Harris, Frank",L
N00043910,"Rubin, Zadok",3
N00043913,"Duke, Doug",R
N00043914,"Pottratz, Keith",D
N00043915,"Kilby, Clifton",I
N00043916,"Bunker, Michael",D
N00043917,"Hoffman, Madelyn",3
N00043918,"Schmidt, James",R
N00043919,"Whitmer, Duane",L
N00043920,"Walz, Joe",R
N00043921,"Wahl, Liz",D
N00043922,"Garapati, Abhiram",R
N00043923,"Goodwin, Kathy",3
N00043926,"Kirby, Andrea",3
N00043927,"Kolody, Philip",3
N00043931,"Rufo, Michael",L
N00043936,"Mahmoud, Mahmoud",D
N00043955,"Castro, Julian",D
N00043958,"Rieck, Paul",R
N00043959,"McCormick, Lisa",D
N00043960,"Squier, Marcia",3
N00043966,"Jensen, Ty",R
N00043975,"Pellegrino, Kaynen",I
N00043976,"Putzova, Eva",D
N00043977,"Wadsack, Justine Louise",R
N00043978,"Morgan, Joseph",R
N00043979,"Cienkus, Jason",D
N00043980,"Bacelar, Agatha",I
N00043981,"Kumar, Rishi",D
N00043982,"Kennedy, Angela",D
N00043984,"Fabricant, Danny",R
N00043985,"O'Mara, Liam",D
N00043987,"Williams, Grace",D
N00043988,"Balkin, Alex",D
N00043990,"Duran, Crisanta",D
N00043991,"Winters, Charlie Madison",D
N00043992,"McCorkle, Ike",D
N00043993,"Sanchez, Mario",D
N00043994,"Rodriguez, Ruben",R
N00043995,"Romagnano, Andy",R
N00043996,"Salado, Armani",R
N00043997,"Wunderlich, Robert",I
N00043999,"Marmorato, Lisa",I
N00044000,"Chong, Kirk",R
N00044001,"Beach, Brandon",R
N00044002,"Cole, Marqus",D
N00044003,"Islam, Nabilah",D
N00044004,"Stephens, (Key)Antwon",D
N00044005,"Kinsey, Rachel",D
N00044006,"Hunter, Amber",D
N00044007,"Kahele, Kai",D
N00044008,"Krull, Aaron",R
N00044009,"Richards, Bret",R
N00044010,"Taylor, Jeremy",R
N00044011,"Feenstra, Randy",R
N00044012,"Emmons, Robert Jr",D
N00044013,"Malouf, Daniel",R
N00044014,"Dar, Mohammad",D
N00044015,"Farris, Jaden Thomas",D
N00044016,"Branscum, Sam",D
N00044017,"Noland, Kelly",D
N00044018,"Sandbeck, David",D
N00044020,"Abundis, Vic",D
N00044021,"Carter, Deandre",D
N00044022,"Farrow, Daryl",D
N00044023,"Nix, Michele",R
N00044024,"Smith, Sandy",R
N00044025,"Speciale, Michael",R
N00044026,"Moore, Jeff",R
N00044027,"Murphy, Greg",R
N00044028,"Bray, Shannon",L
N00044029,"Sobie, Curtis",D
N00044030,"Blackwelder, David",R
N00044031,"Smith, Allen",3
N00044032,"Smith, Richard",I
N00044033,"Phillips, Tom",R
N00044034,"Spezakis, Zina",D
N00044035,"Mathys, Chris",R
N00044036,"Marchant, Jim",R
N00044037,"Ross, Daniel Craig",I
N00044038,"Pereira, Avery",R
N00044039,"James, Isiah",D
N00044040,"Malliotakis, Nicole",R
N00044041,"Ashcraft, Lauren",D
N00044042,"Belvin, Kenneth",D
N00044043,"Sager, Franklin",R
N00044044,"Crist, Terry",R
N00044045,"Ghazanfari, Arash M",D
N00044046,"Hofsheier, Rick",I
N00044048,"Beadencup, Renee",R
N00044049,"Brier, Tom",D
N00044051,"Nevills, Don",I
N00044052,"Covert, Mike",R
N00044053,"Rowe, Chris",D
N00044054,"Cardnell, Elisa",D
N00044056,"Felts, Michael",I
N00044057,"Moore, Nyanza",D
N00044058,"Bohlin, John",R
N00044059,"Iannuzzi, Carol",D
N00044060,"Williams, Michael Howard",R
N00044061,"Kadir, Omar",D
N00044062,"McClintick, Melissa",R
N00044065,"Keller, Fred",R
N00044183,"Buttigieg, Pete",D
N00044206,"Hickenlooper, John",D
N00044223,"Kelly, Mark",D
N00044226,"Zornio, Trish",D
N00044227,"Johnston, Mike",D
N00044228,"Kombo, Danielle",D
N00044229,"Harris, Nancy",D
N00044230,"Stava-Murray, Anne",D
N00044231,"Hubbard, Peggy",R
N00044232,"Laturner, Jake",R
N00044233,"Smith, Adam",D
N00044235,"Hyatt, Forest",R
N00044236,"Fuller, Trevor",D
N00044238,"Vergara, Luis Ed",I
N00044240,"Harrison, Jaime",D
N00044241,"Ocegueda, Adrian",D
N00044242,"Williams, John-Michael",I
N00044243,"Lacavera, Dominic Jr",L
N00044245,"Carl, Jerry",R
N00044246,"Patron, Charles",R
N00044247,"Rivera, Juan",L
N00044248,"Sedgwick, Don",R
N00044249,"Eagle, Chris",I
N00044250,"Eaves, John",D
N00044251,"Wilkes, Mckayla",D
N00044252,"Lackie, Earl",R
N00044253,"Bew, Richard",D
N00044254,"Cairns, Celeste",R
N00044255,"Johnson, Ike",D
N00044256,"Perry, Joan",R
N00044257,"Shepard, Phil",R
N00044258,"Thomas, Allen",D
N00044259,"Baiko, Kevin",R
N00044260,"De Luca, Francis",R
N00044261,"Ridenhour, Matthew",R
N00044262,"Ashford, Ann",D
N00044263,"Chick, Cameron",D
N00044264,"Khan, Imran",D
N00044265,"Cody, Wacey Alpha",R
N00044266,"Boville, Bruce",D
N00044267,"Pruneda, Mat",D
N00044269,"Outlaw, Dana",D
N00044287,"Wheeler, Josh",R
N00044288,"Lambert, Wes",R
N00044290,"Lewis, Chris",R
N00044292,"Rimmer, Stephanie",D
N00044293,"Bubser, Chris",D
N00044294,"Mathisen, Peter G",I
N00044295,"Dossett, Charles",R
N00044296,"Gallagher, Tom",D
N00044297,"Valladares, Suzette",R
N00044298,"Garcia, Mike",R
N00044299,"Barbosa, Jennifer",I
N00044300,"Sanchez, Abdeli",D
N00044301,"Huang, Peggy",R
N00044302,"Rice, Daniel",R
N00044303,"Burley, Brian",R
N00044304,"Sturges, Caleb",R
N00044305,"Knoblock, Steven",R
N00044306,"Caballero, Jose",D
N00044307,"Freeland, Jillian",D
N00044308,"Chester, Albert",D
N00044309,"Lusk, Matthew",R
N00044310,"Adams, Sam",L
N00044311,"Delia, Thomas Christopher",R
N00044312,"Ortiz, Sergio",R
N00044313,"Levertt, Kevin",I
N00044315,"Musselwhite, Greg",R
N00044316,"Mendelson, Richard",R
N00044317,"Vilarino, Irina",R
N00044319,"Merritt, Daniel",R
N00044320,"Tessler, Veronica",D
N00044321,"Christophe, Candy",D
N00044322,"Belsito, Jamie Zahlaway",D
N00044323,"Booth, Doug",D
N00044324,"Brunzell, Amanda",D
N00044325,"Hoadley, Jon",D
N00044326,"Winter, Tom",D
N00044327,"Cooper, Scott",D
N00044328,"Rouse, Eric",R
N00044329,"Clark, Chimer Jr",R
N00044332,"Humphrey, Gregory",D
N00044333,"Flynn, Angela",D
N00044334,"Rushing, Stony",R
N00044335,"Bishop, Dan",R
N00044336,"Shubert, Fern",R
N00044337,"Brown, Leigh",R
N00044338,"Hull, Stevie Rivenbark",R
N00044339,"Brewster, Bill",R
N00044340,"Applefield, David",D
N00044341,"Prijten, Reinier",R
N00044342,"Koshy, Stan",I
N00044343,"McDonald, Mark",D
N00044344,"Peters, Sam",R
N00044345,"Habersham, Richard",D
N00044346,"Torres, Ritchie",D
N00044347,"Ramos, Tomas",D
N00044348,"Jabbour, John",D
N00044349,"Joy, Elizabeth",R
N00044350,"Misso, Roger",D
N00044351,"Greene, David",R
N00044353,"Lee, Albert",D
N00044354,"Roman, Angela",R
N00044355,"Gamba, Mark",D
N00044356,"Siedenbuehl, Tom",R
N00044357,"Timko, Scott",R
N00044358,"Nadal Power, Jose",D
N00044359,"Boroughs, Adair",D
N00044360,"Nathaniel, Lawrence",D
N00044361,"Do, Tanner",D
N00044362,"Hunt, Wesley",R
N00044363,"Gandhi, Pritesh",D
N00044364,"Orozco, Stevens",D
N00044365,"Flores, Marc",D
N00044367,"Fletcher, Crystal",D
N00044368,"Olson, Kim",D
N00044369,"Mrochek, Jason",R
N00044370,"Whitten, Sandra",R
N00044371,"Burgess, Tania",R
N00044372,"Vasquez, Fabian Cordova",R
N00044373,"Khalil, Peter",D
N00044374,"Collins, Joshua",D
N00044382,"Messam, Wayne",D
N00044406,"Sanders, Jarmal Jabbar",I
N00044432,"Hatley, Marty",R
N00044434,"Tuberville, Tommy",R
N00044435,"Vasquez, Juan",D
N00044437,"Bray, Diana",D
N00044438,"Fitch, Gregory E",I
N00044439,"Barrett, Rob",R
N00044442,"Reese, Larry",R
N00044443,"Reynolds, Joe",R
N00044444,"Nichols, Lance",R
N00044445,"Nielson, Stokes",R
N00044446,"Barnett, Josh",R
N00044447,"Livengood, Marla",R
N00044449,"Wahab, Aisha",D
N00044450,"Underwood Jacobs, Angela",R
N00044451,"Cruz, Ignacio",R
N00044452,"Alvarez, Simon Mark",D
N00044453,"Gennawey, Ray",R
N00044454,"Brown, Kenneth",R
N00044455,"Matthew, Abe",D
N00044456,"DePalma, Raffaele Santino",D
N00044457,"Ruzziconi, Ryan",D
N00044458,"Gist, Neal",R
N00044459,"Frankel, Amanda Pearl",D
N00044460,"Diaz, Ruben Sr",D
N00044461,"Conole, Francis",D
N00044463,"Dickinson, Jerry",D
N00044464,"Siegel, Cynthia",R
N00044465,"Valenzuela, Candace",D
N00044466,"Boor, Matthew",D
N00044479,"Adair, Stanley",R
N00044480,"Baer, Dan",D
N00044481,"Williams, Steven Lathrop",D
N00044482,"Hightower, Bill",R
N00044483,"Taylor, Chris",R
N00044484,"Ligon, Mike",R
N00044485,"Muscato, Michael",D
N00044486,"Hamilton, Tamika",R
N00044487,"Kennedy, Brynne",D
N00044488,"Elliott, Bob",R
N00044489,"Wieckowski, Bob",D
N00044490,"Liu, Peter",R
N00044491,"Williams, Kim",D
N00044492,"Cripe, Mark",R
N00044493,"Dorazio, Royce",I
N00044494,"Motiwalla, Frances Yasmeen",D
N00044495,"Jones, Paul Irving",I
N00044496,"Collins, Joe",R
N00044497,"Trani, Annette McDonald",D
N00044498,"Orton, Bill",R
N00044499,"Woolworth, Brenton",R
N00044500,"Sparks, Lisa",R
N00044501,"Steel, Michelle",R
N00044502,"Gilmer, Thomas",R
N00044503,"Wells, Amy Pope",R
N00044504,"Edwards, Jan",R
N00044505,"Olson, William",R
N00044506,"Davila, Anthony",I
N00044507,"Troen, Kirk",R
N00044509,"Smith, Zachary",R
N00044510,"Griffin, Sheila",R
N00044511,"Brown, Jeremy",R
N00044512,"Acosta, Christian",R
N00044514,"Nietmann, Elaine",D
N00044515,"Homrich, Lynne",R
N00044516,"Gonsalves, Mark",R
N00044517,"Floyd, Harrison",R
N00044518,"Bullock, Ben",R
N00044519,"Lee, Lerah",R
N00044520,"McCormick, Richard",R
N00044521,"Hinson, Ashley",R
N00044522,"Kedley, Thomas",R
N00044523,"Hart, Rita",D
N00044524,"Schoenblatt, Josh",R
N00044525,"Raborn, Theresa",R
N00044526,"Darwish, Rush",D
N00044527,"Sanguinetti, Evelyn",R
N00044528,"Collins, Kina",D
N00044529,"Gradel, Ted",R
N00044530,"Swisher, William",D
N00044531,"Badger, John",I
N00044533,"Leckey, Ihssane",D
N00044534,"Urbina, Briana",D
N00044535,"Norton, Tom",R
N00044536,"Tidwell, Andrew J",I
